,favorite_count,followers_count,retweet_count,tweet_id
83,19086,3768809,2499,876484053909872640
84,28392,3768809,4872,876120275196170240
85,25710,3768809,4478,875747767867523072
86,22346,3768810,5114,875144289856114688
87,27915,3768811,6303,875097192612077568
88,25948,3768811,4895,875021211251597312
89,28371,3768811,4825,874680097055178752
90,54493,3768811,15442,874434818259525634
91,26563,3768812,4284,874296783580663808
92,23061,3768812,4107,874057562936811520
93,35406,3768812,10926,874012996292530176
94,54897,3768812,12435,873697596434513921
95,24757,3768812,4110,873580283840344065
96,7435,3768812,1656,873337748698140672
97,7435,3768812,1656,873213775632977920
98,27918,3768812,5632,872967104147763200
99,15006,3768813,3858,872820683541237760
100,717,3768813,31,872668790621863937
101,21254,3768813,3871,872620804844003328
102,41474,3768813,9365,872486979161796608
103,34982,3768813,6606,872261713294495745
104,35224,3768813,8493,872122724285648897
105,38995,3768813,11810,871879754684805121
106,20716,3768936,3641,871762521631449091
107,20687,3768813,3608,871515927908634625
108,24841,3768813,5956,871166179821445120
109,21403,3768813,5729,871102520638267392
110,23174,3768813,3972,871032628920680449
111,33689,3768813,6348,870804317367881728
112,120,3768814,3,870726314365509632
113,12767,3768814,2798,870656317836468226
114,84753,3768814,27502,870374049280663552
115,22375,3768814,4355,870308999962521604
116,37660,3768814,8787,870063196459192321
117,43546,3768815,10580,869772420881756160
118,29014,3768815,6680,869702957897576449
119,16431,3768815,3300,869596645499047938
120,21052,3768815,4004,869227993411051520
121,54897,3768815,12435,868880397819494401
122,10485,3768815,2219,868639477480148993
123,28165,3768815,6234,868622495443632128
124,10485,3768815,2219,868552278524837888
125,24905,3768815,4410,867900495410671616
126,35055,3768815,7740,867774946302451713
127,16683,3768815,2673,867421006826221569
128,1905,3768815,134,867072653475098625
129,33289,3768815,8367,867051520902168576
130,106481,3768815,32705,866816280283807744
131,20805,3768815,5139,866720684873056260
132,20002,3768815,3707,866686824827068416
133,106481,3768815,32705,866450705531457537
134,54493,3768815,15442,866334964761202691
135,37150,3768815,8882,866094527597207552
136,26528,3768816,5975,865718153858494464
137,27416,3768816,5351,865359393868664832
138,28978,3768816,8162,865006731092295680
139,33537,3768816,9320,864873206498414592
140,15134,3768816,3251,864279568663928832
141,31314,3768816,9552,864197398364647424
142,21390,3768816,4419,863907417377173506
143,15875,3768816,4464,863553081350529029
144,8911,3768816,2664,863471782782697472
145,24734,3768816,5627,863432100342583297
146,2349,3768816,105,863427515083354112
147,9068,3768816,1188,863079547188785154
148,8911,3768816,2664,863062471531167744
149,19946,3768817,5421,862831371563274240
150,17722,3768817,3782,862722525377298433
151,21405,3768817,5342,862457590147678208
152,77714,3768817,24997,862096992088072192
153,37599,3768816,11456,861383897657036800
154,17961,3768816,4465,861288531465048066
155,17460,3768816,4093,861005113778896900
156,7841,3768816,2317,860981674716409858
157,10583,3768816,879,860924035999428608
158,7841,3768816,2317,860563773140209665
159,24590,3768817,5664,860524505164394496
160,19081,3768816,3724,860276583193509888
161,17429,3768816,6277,860184849394610176
162,54793,3768816,33231,860177593139703809
163,19962,3768816,4320,859924526012018688
164,16044,3768816,3762,859851578198683649
165,19391,3768816,1695,859607811541651456
166,94035,3768816,32589,859196978902773760
167,35446,3768816,14658,859074603037188101
168,29844,3768816,8762,858860390427611136
169,16242,3768817,3746,858843525470990336
170,22528,3768817,5243,858471635011153920
171,16459,3768818,3140,858107933456039936
172,16883,3768818,2790,857989990357356544
173,35902,3768818,11452,857746408056729600
174,6213,3768818,1772,857393404942143489
175,20956,3768818,4903,857263160327368704
176,242,3768818,20,857214891891077121
177,5471,3768818,182,857062103051644929
178,19838,3768818,4342,857029823797047296
179,41876,3768819,11580,856602993587888130
180,17075,3768820,3113,856543823941562368
181,12412,3768820,2053,856526610513747968
182,11245,3768821,729,856330835276025856
183,540,3768821,17,856288084350160898
184,29007,3768821,6818,856282028240666624
185,354,3768821,28,855862651834028034
186,4687,3768822,1092,855860136149123072
187,12449,3768822,2299,855857698524602368
188,47679,3768822,19118,855851453814013952
189,27952,3768822,5905,855818117272018944
190,31563,3768822,8946,855459453768019968
191,26494,3768822,6521,855245323840757760
192,837,3768821,50,855138241867124737
193,24116,3768944,6657,854732716440526848
194,30979,3768821,7546,854482394044301312
195,19954,3768821,5123,854365224396361728
196,33792,3768821,8245,854120357044912130
197,17120,3768821,3419,854010172552949760
198,30306,3768821,6350,853760880890318849
199,37042,3768821,11198,853639147608842240
200,16456,3768821,3913,853299958564483072
201,7867,3768822,2226,852936405516943360
202,9610,3768823,2024,852912242202992640
203,15869,3768823,2371,852672615818899456
204,17419,3768823,3858,852553447878664193
205,35201,3768823,10906,852311364735569921
206,21318,3768824,7530,852226086759018497
207,12176,3768824,1733,852189679701164033
208,37930,3768824,10647,851953902622658560
209,773,3768825,23,851861385021730816
210,17240,3768825,3808,851591660324737024
211,25855,3768825,7803,851464819735769094
212,22011,3768825,6315,851224888060895234
